entrez	logFC	AveExpr	t	P.Value	adj.P.Val	B
12759	-5.44287688411243	8.85790690857849	-40.9719100042883	1.51988359898768e-10	9.62363869064593e-07	14.7474052012128
53624	-5.51460534672945	6.29676228968386	-40.2428303971518	1.75227939066989e-10	9.62363869064593e-07	14.5253194916419
242505	-5.92174108452591	5.11958499106693	-38.2325500211579	2.62972803842805e-10	9.62363869064593e-07	13.848095795992
67451	-5.72482278672599	4.42049527771447	-37.1415020395053	3.30737110139689e-10	9.62363869064593e-07	13.6466769279072
12521	-4.10731592843837	7.0709625753657	-36.1134988236041	4.1303464540811e-10	9.62363869064593e-07	13.9664000378063
228543	-6.25342661291379	5.48663959408248	-35.0706739218324	5.20832808706836e-10	9.62363869064593e-07	13.5155463926349
218518	-5.13980883750646	4.93133352504942	-34.785402995957	5.55603012411038e-10	9.62363869064593e-07	13.4661845969621
19253	-5.63284576695956	4.12975973759398	-34.5433988175991	5.8715529383735e-10	9.62363869064593e-07	13.2122889270474
70350	-6.07329688026777	5.24834866624662	-34.2958937791183	6.21525587060101e-10	9.62363869064593e-07	13.3429974485882
13036	-4.6599146238527	5.74566933996097	-33.6063450414953	7.29844359373683e-10	9.62363869064593e-07	13.4100332947421
16324	-4.79225474339563	6.46224734183943	-33.2220562285156	7.99337388864733e-10	9.62363869064593e-07	13.3473443174597
17436	-3.71499163443894	5.36734082161566	-32.8050543474349	8.8329545890551e-10	9.62363869064593e-07	13.263288534545
14275	-6.90577218273699	3.83881118637902	-32.5739159940036	9.3407902822727e-10	9.62363869064593e-07	12.6390968538535
22249	-4.32055462721555	5.66449691516208	-32.2310609017715	1.01557094217093e-09	9.62363869064593e-07	13.0941319348138
70737	-5.44600830025422	5.31554819627466	-32.2169455737756	1.01909340176272e-09	9.62363869064593e-07	12.9647546764453
234779	-4.2235238874784	5.30239103502822	-31.0193706355074	1.37473288809254e-09	9.90429604679322e-07	12.8314770975877
14245	-3.7967854000377	6.29534228009497	-30.8762152966566	1.42589853899783e-09	9.90429604679322e-07	12.8625870686853
20661	-3.78594484095143	6.70578410806085	-30.7783534910226	1.462107891166e-09	9.90429604679322e-07	12.8212562900225
14555	-4.53862893529896	5.00339488452563	-30.7225440361424	1.48322009091922e-09	9.90429604679322e-07	12.7225067983769
11815	-5.95363274968088	4.4386346913344	-30.7160619823837	1.48569433798654e-09	9.90429604679322e-07	12.6617688164398
71740	-4.41914061937356	5.16629241665414	-30.4289192002236	1.60010089767537e-09	9.90429604679322e-07	12.5991189137145
20743	-4.98248808976951	5.42642427497527	-30.376529407836	1.62202622583996e-09	9.90429604679322e-07	12.6259599594942
50722	-6.3425307750154	4.48297603308331	-30.0522427830399	1.76550127502562e-09	9.90429604679322e-07	12.1952999212337
13136	-5.23340098189502	5.34089090688839	-29.945864176385	1.81563444239014e-09	9.90429604679322e-07	12.5382043355958
27375	-5.47930995314307	5.22762848334436	-29.941192090439	1.81787268244472e-09	9.90429604679322e-07	12.4988653681391
108153	4.20653427181095	4.15438269304283	29.830215014747	1.87196125553853e-09	9.90429604679322e-07	12.4559866953219
224912	-3.94182069317209	4.46154152941822	-29.733703996932	1.92047378584467e-09	9.90429604679322e-07	12.4565883832789
320405	-3.91268552170178	5.37640156059567	-29.6613231323705	1.95778531104984e-09	9.90429604679322e-07	12.5083831422289
18826	-4.21694161517392	5.46183092273906	-29.3405265744631	2.13326862040663e-09	1.01283396622553e-06	12.4190489541897
215384	-7.06092315830409	10.4358503350298	-29.2210924516935	2.20306725668407e-09	1.01283396622553e-06	12.3712091398715
21804	5.13584607246265	3.74925477374854	29.1984626285146	2.21657980607069e-09	1.01283396622553e-06	12.19530429792
78896	5.44991642048204	3.10802528556617	28.8795788825356	2.41724790897747e-09	1.04295487293892e-06	12.0083825727668
73341	-4.41545779502967	6.82545321466667	-28.7639342920975	2.49500685461731e-09	1.04295487293892e-06	12.3311431924629
16878	-4.8241050929657	8.2294657491608	-28.7517148083377	2.50338621107824e-09	1.04295487293892e-06	12.3136585969083
227960	-5.53827325917495	3.8601154471376	-28.3506972277436	2.79675855588421e-09	1.05711085120925e-06	11.8833632344863
14962	-3.63202676652946	4.08310107632685	-28.3457953914822	2.80057614641008e-09	1.05711085120925e-06	12.1459765850366
75767	-4.43162231186203	7.22544588446387	-28.303422208892	2.83382210654122e-09	1.05711085120925e-06	12.2070669461394
18260	-5.8435791396041	5.10516600471761	-28.300820231153	2.83587803360053e-09	1.05711085120925e-06	12.0485257531383
269132	5.03015136813582	3.25775309199987	28.0349020176504	3.05511381582322e-09	1.10963300515733e-06	11.805649733297
20750	-8.52073767112007	8.89895131616966	-27.8141227211839	3.25167650707389e-09	1.14849125879445e-06	12.0297996023142
108927	4.37450069627221	4.38292454681676	27.7363658086156	3.32425990897088e-09	1.14849125879445e-06	11.9622715980315
66871	4.65715314423571	4.31370722937878	27.2031784218827	3.87398395237705e-09	1.26188015236518e-06	11.7847699000608
26943	-3.42737350420587	10.1910847344465	-27.1984054968464	3.87934607942575e-09	1.26188015236518e-06	11.8673343773947
233066	-4.10075685116431	4.72536709611325	-27.162711107456	3.91971243939766e-09	1.26188015236518e-06	11.8330006310105
72043	-4.1767676635555	6.72925749569747	-26.8535447097297	4.28980631641682e-09	1.31384153149359e-06	11.809201710013
15439	-6.3702746263124	5.76712299535663	-26.8450925074303	4.30046195493325e-09	1.31384153149359e-06	11.7096943124483
21814	3.7597937617175	6.14317497854353	26.7922440368687	4.36776637248179e-09	1.31384153149359e-06	11.7773193479237
170643	4.7933599865947	5.29677008580171	26.6701225535227	4.52787080693632e-09	1.31384153149359e-06	11.7041576292773
192120	-4.86654170171786	3.92690665396624	-26.5950895653155	4.62950947562595e-09	1.31384153149359e-06	11.5159246406745
105853	-5.42566659195665	4.7506581491456	-26.5891723450502	4.63763336213763e-09	1.31384153149359e-06	11.6095685718315
214531	-5.33243533426742	4.49179573509648	-25.9914102299525	5.5473481091046e-09	1.52080416767692e-06	11.4071012990453
