entrez	logFC	AveExpr	t	P.Value	adj.P.Val	B
242505	-6.51047040242206	5.11958499106693	-41.9315672147771	1.26507496721573e-10	7.54752967140652e-07	14.3693117632602
12521	-4.6677374798884	7.0709625753657	-40.4980272974976	1.66666702407931e-10	7.54752967140652e-07	14.7317545945048
53624	-5.46915978504591	6.29676228968386	-39.802897200658	1.91174047058272e-10	7.54752967140652e-07	14.4700600950926
20661	-4.90811921853262	6.70578410806085	-39.2220954090796	2.14786017449941e-10	7.54752967140652e-07	14.5011511039474
71740	-5.55604570826398	5.16629241665414	-38.169829098311	2.66414743078239e-10	7.54752967140652e-07	14.0770463115908
12759	-4.66307770419664	8.85790690857849	-35.4149478601348	4.82087703575557e-10	8.95328223602736e-07	13.8075671866191
21814	5.06046716457984	6.14317497854353	34.8262939570863	5.50462344516007e-10	8.95328223602736e-07	13.6460674784796
15375	-5.75388362594791	5.62506432714305	-34.3088513583403	6.19671067700779e-10	8.95328223602736e-07	13.4737515001608
22249	-4.52724209424253	5.66449691516208	-33.6922221541417	7.1526041520201e-10	8.95328223602736e-07	13.4082325400041
108927	5.64702052159113	4.38292454681676	33.3747761470834	7.70865786308271e-10	8.95328223602736e-07	13.1460212405924
67451	-5.1456444920703	4.42049527771447	-33.3650991029933	7.72635638142358e-10	8.95328223602736e-07	13.034260544912
108153	4.70904635264894	4.15438269304283	32.9229253523545	8.58598890009405e-10	8.95328223602736e-07	13.1129980511128
70737	-5.54904347853642	5.31554819627466	-32.7750120309581	8.89717090176236e-10	8.95328223602736e-07	13.0890163043946
21804	6.09304881212859	3.74925477374854	32.7680722670775	8.91207940277001e-10	8.95328223602736e-07	12.8539719220815
27205	-6.00858040201808	7.52042185542689	-32.3474154833303	9.87050916416162e-10	8.95328223602736e-07	13.1579041888146
50722	-6.7623723001568	4.48297603308331	-32.0251053201569	1.06835515238953e-09	8.95328223602736e-07	12.5931689877619
218518	-4.72832188729301	4.93133352504942	-32.0017988763938	1.07452028247416e-09	8.95328223602736e-07	12.937163461302
78896	6.46431167933761	3.10802528556617	31.4730758939625	1.22572446618334e-09	9.4920938194129e-07	12.3927897053376
16324	-4.49224518711488	6.46224734183943	-31.1299082563426	1.33663656597193e-09	9.4920938194129e-07	12.8915953875932
20743	-5.11435759112928	5.42642427497527	-31.119366689177	1.34021797662025e-09	9.4920938194129e-07	12.8012180155759
70350	-5.44601335373355	5.24834866624662	-30.7876722975002	1.4586157069895e-09	9.79110894445794e-07	12.6540271665112
18826	-4.40849147759483	5.46183092273906	-30.625683495878	1.52068052790734e-09	9.79110894445794e-07	12.7316125300175
228543	-5.40625058769	5.48663959408248	-30.4021920474817	1.61124437912537e-09	9.92316375230906e-07	12.5924034078226
192176	3.93957879064898	9.79331466589868	30.0403864056388	1.77101102568445e-09	9.99994405698545e-07	12.5778720783889
320405	-3.96037053683551	5.37640156059567	-30.0025102122709	1.78874237235629e-09	9.99994405698545e-07	12.5971477474292
20356	5.11503982974596	4.69044047462985	29.9046219918131	1.83549979161046e-09	9.99994405698545e-07	12.4782103791918
13867	-4.55176747777104	6.41026108221861	-29.2915376292286	2.16159298078388e-09	1.05133414696082e-06	12.4562910407224
23888	5.44385265227908	4.23416327933735	29.105557175215	2.27304015415685e-09	1.05133414696082e-06	12.2168052460525
100038347	-5.27521848435099	4.68589369526386	-28.7002426597079	2.53903171461722e-09	1.05133414696082e-06	12.1557472758728
15530	4.16301574009992	7.34071959634	28.5849104415273	2.62099289289781e-09	1.05133414696082e-06	12.2733923716416
238257	-3.92418111853749	5.86730622828644	-28.5803951362183	2.62426169917616e-09	1.05133414696082e-06	12.2750750226259
269132	4.75753479392309	3.25775309199987	28.3909772829178	2.76560879428834e-09	1.05133414696082e-06	11.9926959350114
70031	-4.884270949723	3.5041677254827	-28.30362232663	2.83366405490742e-09	1.05133414696082e-06	11.9106453287768
50528	-6.62188453959025	7.06787105067999	-28.3014649394965	2.83536846739275e-09	1.05133414696082e-06	12.1645576765373
68339	-3.84549434617384	4.68640039234766	-28.2870564166362	2.84678131763696e-09	1.05133414696082e-06	12.1489234129567
214968	5.86656685741249	4.35803635030286	28.2499012904517	2.87645064575889e-09	1.05133414696082e-06	11.9830749339494
16669	-5.5575065969859	9.87185795198583	-28.212881678827	2.9063580248085e-09	1.05133414696082e-06	12.1425727317157
192120	-5.13512960234862	3.92690665396624	-28.1347912228194	2.9705994949636e-09	1.05133414696082e-06	11.9064945770996
224912	-3.71932728861929	4.46154152941822	-28.0737467986143	3.02193079434714e-09	1.05133414696082e-06	12.0607511482207
14119	5.69010480660128	3.84200945035236	28.0562329147487	3.03684153469819e-09	1.05133414696082e-06	11.9392156811472
19253	-4.56496974586785	4.12975973759398	-27.9042038462651	3.16980780031283e-09	1.05133414696082e-06	11.8743292221158
13497	6.52337558986054	1.61229002161551	27.8490519404288	3.21965269783409e-09	1.05133414696082e-06	11.1577293881167
170643	4.96361577875289	5.29677008580171	27.8479504976318	3.2206570910768e-09	1.05133414696082e-06	12.0299926176261
21345	6.75899179852511	6.92180349128045	27.7989437920157	3.26570437460473e-09	1.05133414696082e-06	12.0208404720346
218121	-6.37515907259925	5.38486763760672	-27.6865966843517	3.3716733879372e-09	1.06132785644734e-06	11.9257345578278
72333	4.62938306601105	5.60219799152001	27.5327356314046	3.5231301421665e-09	1.06475346357112e-06	11.9638954036351
22351	-6.29856241887128	5.12287887957774	-27.523075245473	3.53289183112198e-09	1.06475346357112e-06	11.8602806769995
330222	6.35299874900174	2.36662130938631	27.2039596076485	3.87310712565571e-09	1.10380269524559e-06	11.3909887498002
214531	-5.55984401725675	4.49179573509648	-27.0951774363349	3.9973842610549e-09	1.10380269524559e-06	11.7039244727262
14555	-3.97447467468061	5.00339488452563	-26.9045892467293	4.22608234120932e-09	1.10380269524559e-06	11.7777468620012
234779	-3.65984531704749	5.30239103502822	-26.890302805836	4.24380961079286e-09	1.10380269524559e-06	11.7958871155999
56312	-6.03774189891158	5.45880736486347	-26.8720826485111	4.26653945220483e-09	1.10380269524559e-06	11.7322237703799
56401	3.91940433276168	3.67937966048712	26.8395947076939	4.3074089706104e-09	1.10380269524559e-06	11.6919776677274
66871	4.34126771708293	4.31370722937878	26.8390103502434	4.30814810583045e-09	1.10380269524559e-06	11.7365695514248
110173	-3.76711548928618	5.16799149851295	-26.7878963912599	4.37335576867239e-09	1.10380269524559e-06	11.7752519616281
77579	3.51054234966442	6.0224672465618	26.7767540625353	4.38771726224376e-09	1.10380269524559e-06	11.7837075876212
19116	-7.23081141196236	8.61225656229384	-26.7352315163871	4.44170516265434e-09	1.10380269524559e-06	11.7472047045765
18260	-5.47154814441654	5.10516600471761	-26.4999650290998	4.76207104991157e-09	1.11894985973445e-06	11.59790775147
27375	-4.83932357492662	5.22762848334436	-26.4685908769768	4.80672460933696e-09	1.11894985973445e-06	11.6325908369477
237175	4.42138542690516	3.06676673459166	26.4655379968007	4.81109472484981e-09	1.11894985973445e-06	11.4710224737847
66060	-5.28341755483881	3.73163364611473	-26.4602789748319	4.8186333528981e-09	1.11894985973445e-06	11.4520217847678
11658	-3.85406950836366	6.43036705105383	-26.3924524053217	4.9170601979629e-09	1.12338964038943e-06	11.6775664176898
12337	-4.43888722793703	5.64953741895575	-26.1142725590779	5.34508750622447e-09	1.17372175440275e-06	11.5823457993427
171531	-6.20756497605116	6.04904357062539	-26.0504588060416	5.44908562869868e-09	1.17372175440275e-06	11.5283893690235
353499	-3.56618579255049	7.13289478376067	-26.0392652895331	5.46756139144392e-09	1.17372175440275e-06	11.5751452430535
13822	3.27818280940154	5.80917978871149	25.9637007095659	5.59414501664013e-09	1.17372175440275e-06	11.546704358303
268860	6.65085588040874	2.32023911239452	25.9227783502009	5.66407026350935e-09	1.17372175440275e-06	10.9864584594113
21859	3.95919386953969	6.7438744906225	25.921487314738	5.66629222898042e-09	1.17372175440275e-06	11.5345779409286
11830	-6.60579085381156	5.09959949354309	-25.8595632654096	5.77402775035944e-09	1.17372175440275e-06	11.3895625480934
54366	3.84332534705979	4.68111410131471	25.7900774591013	5.8976704296544e-09	1.17372175440275e-06	11.4655962104935
70370	6.28400602195045	2.63255914674103	25.7608254549983	5.95060942748825e-09	1.17372175440275e-06	11.0222983168021
18830	5.67528993241585	3.73133896994662	25.7523924940548	5.96597008944566e-09	1.17372175440275e-06	11.3170936384564
13036	-3.54803487683698	5.74566933996097	-25.6759942613547	6.10717940634724e-09	1.18504378480697e-06	11.4540696604204
109624	4.74521054549886	6.69766377044745	25.5358257216102	6.37613879405315e-09	1.20972982311407e-06	11.4130545120734
16772	6.44966870795391	6.07624048968343	25.5210767652469	6.40520555831665e-09	1.20972982311407e-06	11.3766112606318
18131	-3.93710765548588	6.83438788163023	-25.4621230089103	6.52288686029448e-09	1.21440213317982e-06	11.4002275051412
228911	5.20320300612532	3.77837594019737	25.4026403248528	6.6440933986277e-09	1.21440213317982e-06	11.2565987816887
53972	-4.22823965105248	3.53764756627237	-25.3630193263993	6.72623286505246e-09	1.21440213317982e-06	11.2173043357493
15439	-6.01152482770214	5.76712299535663	-25.3407624949904	6.77287458674236e-09	1.21440213317982e-06	11.2999022311745
17436	-2.85823405278946	5.36734082161566	-25.2435072524432	6.98099537174291e-09	1.22248295124698e-06	11.3282374178588
105853	-5.15067379969005	4.7506581491456	-25.2391215872194	6.99054846812607e-09	1.22248295124698e-06	11.2456991228803
18858	3.4099626910757	5.32478837046893	25.1683856914469	7.14667740159518e-09	1.23454494382434e-06	11.2992356832333
235627	-3.97768868977817	4.36332918644909	-24.9129220185209	7.74408341615058e-09	1.29585569473866e-06	11.1842162100468
17183	4.99671706936028	2.49162043123181	24.8142658770527	7.98965971313659e-09	1.29585569473866e-06	10.9431457444406
230815	-3.95821355891469	4.17620693843142	-24.7998954588035	8.02615597155382e-09	1.29585569473866e-06	11.1419761861279
