NGenes	Direction	PValue	FDR
HALLMARK_E2F_TARGETS	257	Up	6.2756242108292e-10	3.1378121054146e-08
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	259	Up	8.72990945897954e-07	2.18247736474489e-05
HALLMARK_G2M_CHECKPOINT	274	Up	1.76731640007949e-06	2.94552733346582e-05
HALLMARK_MYC_TARGETS_V2	66	Up	8.66455388357581e-05	0.00108306923544698
HALLMARK_INTERFERON_ALPHA_RESPONSE	136	Down	0.000325854556594703	0.00325854556594703
HALLMARK_MYC_TARGETS_V1	246	Up	0.000489314525591204	0.00407762104659337
HALLMARK_ANGIOGENESIS	56	Up	0.0016518839485879	0.0117991710613422
HALLMARK_PROTEIN_SECRETION	138	Down	0.00667035371769558	0.0400194253960567
HALLMARK_APICAL_JUNCTION	278	Up	0.00720349657129021	0.0400194253960567
HALLMARK_INTERFERON_GAMMA_RESPONSE	248	Down	0.0084559174584747	0.0422795872923735
HALLMARK_HEDGEHOG_SIGNALING	45	Up	0.0096919528354351	0.0440543310701596
HALLMARK_MYOGENESIS	257	Up	0.0126135688588679	0.0525565369119494
HALLMARK_TNFA_SIGNALING_VIA_NFKB	251	Down	0.042343348494993	0.16285903267305
HALLMARK_ESTROGEN_RESPONSE_EARLY	256	Down	0.0560600197712116	0.200214356325756
HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY	63	Down	0.112285495434064	0.339517212215177
HALLMARK_GLYCOLYSIS	264	Up	0.121087590715832	0.339517212215177
HALLMARK_APOPTOSIS	191	Down	0.121677969363833	0.339517212215177
HALLMARK_INFLAMMATORY_RESPONSE	197	Down	0.127079571647853	0.339517212215177
HALLMARK_DNA_REPAIR	187	Up	0.131284624554011	0.339517212215177
HALLMARK_HEME_METABOLISM	232	Down	0.140866120981396	0.339517212215177
HALLMARK_UV_RESPONSE_DN	246	Up	0.142597229130374	0.339517212215177
HALLMARK_BILE_ACID_METABOLISM	110	Down	0.153944175632014	0.349873126436396
HALLMARK_ALLOGRAFT_REJECTION	190	Down	0.177637302804715	0.386168049575467
HALLMARK_MTORC1_SIGNALING	274	Up	0.199246741347746	0.411312559233546
HALLMARK_SPERMATOGENESIS	136	Up	0.207955795254543	0.411312559233546
HALLMARK_KRAS_SIGNALING_DN	247	Up	0.213882530801444	0.411312559233546
HALLMARK_MITOTIC_SPINDLE	308	Up	0.233808820967619	0.432979298088182
HALLMARK_OXIDATIVE_PHOSPHORYLATION	236	Up	0.323346628501642	0.577404693752932
HALLMARK_WNT_BETA_CATENIN_SIGNALING	63	Up	0.337763019987263	0.582350034460799
HALLMARK_HYPOXIA	264	Up	0.377758482337352	0.629597470562254
HALLMARK_XENOBIOTIC_METABOLISM	230	Up	0.415434755350126	0.647489621375212
HALLMARK_CHOLESTEROL_HOMEOSTASIS	98	Down	0.421990007280128	0.647489621375212
HALLMARK_COMPLEMENT	247	Down	0.42734315010764	0.647489621375212
HALLMARK_PI3K_AKT_MTOR_SIGNALING	155	Down	0.546564989348356	0.769161031493124
HALLMARK_PEROXISOME	133	Down	0.54693444064283	0.769161031493124
HALLMARK_APICAL_SURFACE	64	Up	0.553795942675049	0.769161031493124
HALLMARK_FATTY_ACID_METABOLISM	189	Down	0.582523103065277	0.787193382520644
HALLMARK_KRAS_SIGNALING_UP	239	Down	0.614419862457525	0.795320540698767
HALLMARK_IL6_JAK_STAT3_SIGNALING	86	Down	0.620350021745038	0.795320540698767
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	156	Up	0.657910716570758	0.822388395713447
HALLMARK_ANDROGEN_RESPONSE	154	Up	0.723293067256348	0.873482617587273
HALLMARK_TGF_BETA_SIGNALING	91	Up	0.733725398773309	0.873482617587273
HALLMARK_PANCREAS_BETA_CELLS	26	Down	0.812060567031593	0.94425647329255
HALLMARK_IL2_STAT5_SIGNALING	255	Up	0.863716364381929	0.956159596197388
HALLMARK_COAGULATION	148	Up	0.872983172780244	0.956159596197388
HALLMARK_ADIPOGENESIS	273	Down	0.879666828501597	0.956159596197388
HALLMARK_UV_RESPONSE_UP	253	Up	0.903723310090782	0.961118041755491
HALLMARK_P53_PATHWAY	262	Down	0.922673320085272	0.961118041755491
HALLMARK_ESTROGEN_RESPONSE_LATE	248	Down	0.944312905181825	0.963584597124311
HALLMARK_NOTCH_SIGNALING	50	Down	0.968377993255487	0.968377993255487
