NGenes	Direction	PValue	FDR
HALLMARK_E2F_TARGETS	257	Up	4.45564999722046e-10	1.26243512902429e-08
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	259	Up	5.04974051609715e-10	1.26243512902429e-08
HALLMARK_G2M_CHECKPOINT	274	Up	3.82920430021641e-07	6.38200716702736e-06
HALLMARK_MYC_TARGETS_V2	66	Up	1.35445774538298e-05	0.000169307218172873
HALLMARK_INTERFERON_ALPHA_RESPONSE	136	Down	8.4013472968768e-05	0.00084013472968768
HALLMARK_ANGIOGENESIS	56	Up	0.000198892900297127	0.00165744083580939
HALLMARK_HEDGEHOG_SIGNALING	45	Up	0.000583916983883026	0.00417083559916447
HALLMARK_MYOGENESIS	257	Up	0.00151772862022912	0.00844524348989008
HALLMARK_MYC_TARGETS_V1	246	Up	0.00152014382818021	0.00844524348989008
HALLMARK_APICAL_JUNCTION	278	Up	0.0017976069276969	0.00898803463848449
HALLMARK_PROTEIN_SECRETION	138	Down	0.0033566551643574	0.0152575234743518
HALLMARK_UV_RESPONSE_DN	246	Up	0.00508460674790774	0.0211858614496156
HALLMARK_HYPOXIA	264	Up	0.0134691100037806	0.0518042692453101
HALLMARK_INTERFERON_GAMMA_RESPONSE	248	Down	0.0228629576586335	0.0816534202094053
HALLMARK_MITOTIC_SPINDLE	308	Up	0.0431192890562205	0.143730963520735
HALLMARK_KRAS_SIGNALING_DN	247	Up	0.0752949828316894	0.235296821349029
HALLMARK_WNT_BETA_CATENIN_SIGNALING	63	Up	0.100621604357997	0.295945895170579
HALLMARK_MTORC1_SIGNALING	274	Up	0.128700402307528	0.357501117520911
HALLMARK_GLYCOLYSIS	264	Up	0.140476569927854	0.369675184020668
HALLMARK_OXIDATIVE_PHOSPHORYLATION	236	Down	0.164828414053229	0.410740878449066
HALLMARK_SPERMATOGENESIS	136	Up	0.172511168948608	0.410740878449066
HALLMARK_BILE_ACID_METABOLISM	110	Down	0.1959589376006	0.445361221819545
HALLMARK_HEME_METABOLISM	232	Down	0.20707676835294	0.450166887723782
HALLMARK_APICAL_SURFACE	64	Up	0.219242717534261	0.456755661529711
HALLMARK_FATTY_ACID_METABOLISM	189	Down	0.234033856645249	0.468067713290497
HALLMARK_ESTROGEN_RESPONSE_EARLY	256	Down	0.259364372610107	0.498777639634821
HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY	63	Down	0.27673199204901	0.512466651942611
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	156	Up	0.337242675309918	0.576227702393138
HALLMARK_APOPTOSIS	191	Down	0.341428438767075	0.576227702393138
HALLMARK_ALLOGRAFT_REJECTION	190	Down	0.345736621435883	0.576227702393138
HALLMARK_COMPLEMENT	247	Up	0.388926310093249	0.627300500150401
HALLMARK_IL2_STAT5_SIGNALING	255	Up	0.411334626687764	0.642710354199631
HALLMARK_P53_PATHWAY	262	Up	0.426520886164966	0.646243766916614
HALLMARK_TGF_BETA_SIGNALING	91	Up	0.450985649699837	0.663214190735054
HALLMARK_ANDROGEN_RESPONSE	154	Up	0.476744606602095	0.681063723717278
HALLMARK_DNA_REPAIR	187	Up	0.524615420412689	0.718850642200131
HALLMARK_CHOLESTEROL_HOMEOSTASIS	98	Down	0.531949475228097	0.718850642200131
HALLMARK_PEROXISOME	133	Down	0.619687536616403	0.796533830432083
HALLMARK_UV_RESPONSE_UP	253	Up	0.621296387737025	0.796533830432083
HALLMARK_NOTCH_SIGNALING	50	Up	0.663056298393643	0.804020031090017
HALLMARK_COAGULATION	148	Up	0.663083292277676	0.804020031090017
HALLMARK_ADIPOGENESIS	273	Down	0.685328256770707	0.804020031090017
HALLMARK_KRAS_SIGNALING_UP	239	Up	0.691457226737414	0.804020031090017
HALLMARK_INFLAMMATORY_RESPONSE	197	Up	0.77347856733193	0.878952917422647
HALLMARK_PI3K_AKT_MTOR_SIGNALING	155	Up	0.864859076491554	0.951254828762734
HALLMARK_IL6_JAK_STAT3_SIGNALING	86	Down	0.875154442461716	0.951254828762734
HALLMARK_XENOBIOTIC_METABOLISM	230	Up	0.908308780649848	0.954840360494455
HALLMARK_ESTROGEN_RESPONSE_LATE	248	Up	0.916646746074677	0.954840360494455
HALLMARK_TNFA_SIGNALING_VIA_NFKB	251	Up	0.956112628662604	0.975625131288372
HALLMARK_PANCREAS_BETA_CELLS	26	Up	0.978596805583574	0.978596805583574
