NGenes	Direction	PValue	FDR
HALLMARK_TNFA_SIGNALING_VIA_NFKB	251	Up	0.000109097624335288	0.00545488121676439
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	259	Up	0.000225368282875437	0.00563420707188592
HALLMARK_OXIDATIVE_PHOSPHORYLATION	236	Down	0.000618638111665968	0.0103106351944328
HALLMARK_COMPLEMENT	247	Up	0.00122329639169756	0.0152912048962195
HALLMARK_HYPOXIA	264	Up	0.00176061945553705	0.0176061945553705
HALLMARK_INFLAMMATORY_RESPONSE	197	Up	0.00222337859940101	0.0185281549950084
HALLMARK_UV_RESPONSE_DN	246	Up	0.0267275136438593	0.184566448367092
HALLMARK_HEDGEHOG_SIGNALING	45	Up	0.0309020928135494	0.184566448367092
HALLMARK_MYOGENESIS	257	Up	0.0332219607060765	0.184566448367092
HALLMARK_ANGIOGENESIS	56	Up	0.0370048019371572	0.185024009685786
HALLMARK_KRAS_SIGNALING_UP	239	Up	0.080994490523722	0.368156775107827
HALLMARK_APICAL_SURFACE	64	Up	0.0900410995751059	0.375171248229608
HALLMARK_KRAS_SIGNALING_DN	247	Up	0.170925961636226	0.633927406185178
HALLMARK_ESTROGEN_RESPONSE_EARLY	256	Up	0.193340002300841	0.633927406185178
HALLMARK_APICAL_JUNCTION	278	Up	0.199507543405468	0.633927406185178
HALLMARK_INTERFERON_ALPHA_RESPONSE	136	Down	0.226069003290231	0.633927406185178
HALLMARK_WNT_BETA_CATENIN_SIGNALING	63	Up	0.234282505334634	0.633927406185178
HALLMARK_PI3K_AKT_MTOR_SIGNALING	155	Up	0.248872217475969	0.633927406185178
HALLMARK_P53_PATHWAY	262	Up	0.25494859416495	0.633927406185178
HALLMARK_UV_RESPONSE_UP	253	Up	0.262714385679207	0.633927406185178
HALLMARK_TGF_BETA_SIGNALING	91	Up	0.274324448352808	0.633927406185178
HALLMARK_XENOBIOTIC_METABOLISM	230	Down	0.282415696558032	0.633927406185178
HALLMARK_IL2_STAT5_SIGNALING	255	Up	0.293707858007279	0.633927406185178
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	156	Up	0.313671913593106	0.633927406185178
HALLMARK_PROTEIN_SECRETION	138	Down	0.316963703092589	0.633927406185178
HALLMARK_DNA_REPAIR	187	Down	0.370987227701914	0.694977654427581
HALLMARK_COAGULATION	148	Up	0.385686530441242	0.694977654427581
HALLMARK_CHOLESTEROL_HOMEOSTASIS	98	Up	0.396396552978782	0.694977654427581
HALLMARK_APOPTOSIS	191	Up	0.409545877833055	0.694977654427581
HALLMARK_MITOTIC_SPINDLE	308	Up	0.433093041517465	0.694977654427581
HALLMARK_FATTY_ACID_METABOLISM	189	Down	0.453411511879738	0.694977654427581
HALLMARK_IL6_JAK_STAT3_SIGNALING	86	Up	0.457000207547716	0.694977654427581
HALLMARK_NOTCH_SIGNALING	50	Up	0.458685251922203	0.694977654427581
HALLMARK_MYC_TARGETS_V2	66	Up	0.507091921107547	0.745723413393451
HALLMARK_E2F_TARGETS	257	Down	0.541092109403306	0.772988727719009
HALLMARK_HEME_METABOLISM	232	Up	0.570164196032138	0.787071454289593
HALLMARK_MYC_TARGETS_V1	246	Down	0.582432876174299	0.787071454289593
HALLMARK_ALLOGRAFT_REJECTION	190	Up	0.605534534755204	0.796755966783163
HALLMARK_INTERFERON_GAMMA_RESPONSE	248	Up	0.623538838564127	0.799408767389907
HALLMARK_SPERMATOGENESIS	136	Down	0.671227518065219	0.839034397581523
HALLMARK_PANCREAS_BETA_CELLS	26	Down	0.699059733672722	0.844429657589381
HALLMARK_MTORC1_SIGNALING	274	Up	0.70932091237508	0.844429657589381
HALLMARK_GLYCOLYSIS	264	Up	0.796151051219882	0.925757036302189
HALLMARK_ESTROGEN_RESPONSE_LATE	248	Down	0.824136481018892	0.936518728430559
HALLMARK_G2M_CHECKPOINT	274	Down	0.901860999885062	0.970037609381312
HALLMARK_PEROXISOME	133	Up	0.913397721556538	0.970037609381312
HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY	63	Down	0.921384950442671	0.970037609381312
HALLMARK_ANDROGEN_RESPONSE	154	Up	0.931236105006059	0.970037609381312
HALLMARK_BILE_ACID_METABOLISM	110	Down	0.951183703219573	0.970595615530177
HALLMARK_ADIPOGENESIS	273	Down	0.982203830476038	0.982203830476038
